date,0,SCANA,AVM,NOM,SOLON,BULKIN,BWLPG,KOA,QFR,REC,PHO,BIONOR,MOWI,NKR,TOM,HEX,DNB,OBX,SDRL,IMSK,SCHB,THOR,ODL,SBANK,WAWI,EQNR,DAX,TRE,GJF,NANOV,TEL,MHG,NAS,ARCUS,KOG,STL,WWI,PGS,WWIB,SCATC,ORK,ELK,POL,NEL,YAR,NOFI,NEXT,LSG,SUBC,STB,ADE,AKERBP,DNO,TGS,PEN,IDEX,AKRBP,ABG,NEKKAR,KA,VISTN,FROT,FRO,SAGA,VISTIN,AKSO,ABL,AQUA,NSKOG,AKER,KCC,MGN,KAHOT,ARR,HPUR,OMX,SP500,NDA,HUNT,KRAFT,BYGGMA,BEL,MORROW,AFK,SIOFF,ELO,ELOP,MOBA,SOLSTAD,KOMP,WBC,MPCC,MPC,NORCOD,SOFF
1413842400000,0,-14300,-20000,-20500,0,2000,223,-38600,35120,0,-170,-2275,-14085,-7300,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413928800000,0,-4300,-20000,-20500,0,2000,223,-38600,35120,0,-170,-2275,-14085,-7300,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414015200000,0,-4300,-20000,-20500,0,5000,223,-38600,35120,0,-170,-2275,-14085,-7300,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414101600000,0,-4300,-20000,-20500,0,5000,223,-38600,33920,0,-170,-2275,-14085,-7300,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414364400000,0,-4300,-20000,-20500,0,5000,223,-38600,33920,0,-170,-2275,-14085,-7300,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414537200000,0,-14300,-20000,-20500,0,5000,223,-38600,33920,3800,-170,-2275,-14085,-7300,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414623600000,0,-14300,-20000,-20500,0,5000,223,-38600,33920,10000,-170,-2275,-14085,-7300,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414710000000,0,-14300,-20000,-20500,0,5000,223,-38600,33920,0,-170,-2275,-14085,-7300,0,5000,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414969200000,0,-14300,-20000,-20500,0,5000,223,-38600,33920,0,-170,-2275,-14085,-7300,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415228400000,0,-14300,-20000,-20500,0,5000,223,-38600,33920,0,-170,-2275,-14085,-7300,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
