date,company,number 
05.10.2016,BULL NHY X3 ETN DNM NO 0010708878,1000
05.10.2016,BULL SDRL X3 ND,3500
05.10.2016,BULL SDRL X3 ND,1800
05.10.2016,BULL SDRL X3 ND,-3500
06.10.2016,BULL SDRL X3 ND,-1800
10.10.2016,QFR Q-FREE,200
10.10.2016,QFR Q-FREE,1800
10.10.2016,QFR Q-FREE,500
11.10.2016,BULL NHY X3 ETN DNM NO 0010708878,-1000
11.10.2016,QFR Q-FREE,2000
11.10.2016,QFR Q-FREE,2500
11.10.2016,QFR Q-FREE,1500
13.10.2016,QFR Q-FREE,1000
13.10.2016,QFR Q-FREE,500
24.10.2016,BULL NHY X3 ETN DNM NO 0010708878,-1000
24.10.2016,QFR Q-FREE,2000
24.10.2016,QFR Q-FREE,1000
24.10.2016,QFR Q-FREE,1000
25.10.2016,BULL NHY X3 ETN DNM NO 0010708878,-1000
26.10.2016,BULL GJF X3 ETN DNM,950
27.10.2016,BULL GJF X3 ETN DNM,-950
27.10.2016,BULL NHY X3 ETN DNM NO 0010708878,-1000
27.10.2016,QFR Q-FREE,4000
27.10.2016,HEX HEXAGON COMPOSITES,1000
27.10.2016,QFR Q-FREE,1000
31.10.2016,QFR Q-FREE,500
07.11.2016,QFR Q-FREE,-1500
09.11.2016,HEX HEXAGON COMPOSITES,-1000
09.11.2016,QFR Q-FREE,-2000
09.11.2016,BWLPG BW LPG,500
09.11.2016,BWLPG BW LPG,800
09.11.2016,BWLPG BW LPG,-400
09.11.2016,HEXAGON COMPOSITES,-500
09.11.2016,Q-FREE,2000
14.11.2016,QFR Q-FREE,-2000
17.11.2016,Q-FREE,20
22.11.2016,HEX HEXAGON COMPOSITES,500
22.11.2016,HEX HEXAGON COMPOSITES,400
22.11.2016,NORDIC NANOVECTO R AS,-128
22.11.2016,HEXAGON COMPOSITES,490
29.11.2016,HEX HEXAGON COMPOSITES,-900
29.11.2016,SBANK SBANKEN,-300
29.11.2016,QFR Q-FREE,2000
29.11.2016,QFR Q-FREE,2000
01.12.2016,QFR Q-FREE,-2000
01.12.2016,QFR Q-FREE,2000
05.12.2016,HEX HEXAGON COMPOSITES,1000
16.12.2016,Q-FREE,200
16.12.2016,HEXAGON COMPOSITES,30
29.12.2016,QFR Q-FREE,-2000
05.01.2017,QFR Q-FREE,1500
26.01.2017,QFR Q-FREE,-1500
30.01.2017,BULL NHY X3 ETN DNM NO 0010708878,240
07.02.2017,BULL NHY X3 ETN DNM NO 0010708878,-240
08.02.2017,BULL NHY X3 ETN DNM NO 0010708878,175
13.02.2017,BULL NHY X3 ETN DNM NO 0010708878,-175
13.02.2017,BULL BWLPG ETN DNM NO 0010708860,1200
13.02.2017,BULL BWLPG ETN DNM NO 0010708860,-1200
15.02.2017,BULL MOWI X3 DNM,200
03.03.2017,BULL MOWI X3 DNM,-200
03.03.2017,QFR Q-FREE,1400
06.03.2017,Q-FREE,450
08.03.2017,QFR Q-FREE,-19500
08.03.2017,QFR Q-FREE,-1500
08.03.2017,HEX HEXAGON COMPOSITES,1000
08.03.2017,BEAR NHY X3 ND,10000
08.03.2017,BEAR OBX INDEX X5 NORDEA,2500
08.03.2017,Q-FREE,-1000
08.03.2017,Q-FREE,-1670
09.03.2017,BEAR NHY X3 ND,-10000
09.03.2017,BEAR OBX INDEX X5 NORDEA,-2500
10.03.2017,HEX HEXAGON COMPOSITES,1000
10.03.2017,HEX HEXAGON COMPOSITES,1000
10.03.2017,QFR Q-FREE,5000
10.03.2017,QFR Q-FREE,5000
10.03.2017,HEXAGON COMPOSITES,800
13.03.2017,QFR Q-FREE,-2200
15.03.2017,QFR Q-FREE,400
22.03.2017,SBANK SBANKEN,-500
22.03.2017,BULL NHY X3 ETN DNM NO 0010708878,350
22.03.2017,QFR Q-FREE,1500
22.03.2017,BULL NHY X3 ETN DNM NO 0010708878,-350
22.03.2017,QFR Q-FREE,3000
